Order ID,Order Date,Ship Date,Shipping Days,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin %,Revenue per Unit,Discount_Level,Order Size,Is_Profitable,High_Value_Order,On_Time_Shipping,Year,Month,Quarter,Weekday
CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5.0,189.58,Medium,Large,True,True,True,2014,6,2,Monday
CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,7.5,227.86,Medium,Medium,True,True,True,2014,6,2,Monday
CA-2017-114412,2017-04-15,2017-04-20,5,Standard Class,AA-10480,Andrew Allen,Consumer,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,35.0,5.18,Medium,Medium,True,False,True,2017,4,2,Saturday
CA-2016-161389,2016-12-05,2016-12-10,5,Standard Class,IM-15070,Irene Maddox,Consumer,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,32.5,135.99,Medium,Medium,True,False,True,2016,12,4,Monday
US-2015-118983,2015-11-22,2015-11-26,4,Standard Class,HP-14815,Harold Pawlan,Home Office,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,-180.0,13.76,High,Medium,False,False,True,2015,11,4,Sunday
US-2015-118983,2015-11-22,2015-11-26,4,Standard Class,HP-14815,Harold Pawlan,Home Office,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,-150.0,0.85,High,Medium,False,False,True,2015,11,4,Sunday
CA-2014-105893,2014-11-11,2014-11-18,7,Standard Class,PK-19075,Pete Kriz,Consumer,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2.0,110.98,Low,Large,True,True,False,2014,11,4,Tuesday
CA-2014-167164,2014-05-13,2014-05-15,2,Second Class,AG-10270,Alejandro Grove,Consumer,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,18.0,27.75,Low,Small,True,False,True,2014,5,2,Tuesday
CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,29.0,4.28,Low,Small,True,False,True,2014,8,3,Wednesday
CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,7.5,71.16,Medium,Medium,True,False,True,2014,8,3,Wednesday
CA-2014-143336,2014-08-27,2014-09-01,5,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,32.5,5.68,Medium,Medium,True,False,True,2014,8,3,Wednesday
CA-2016-137330,2016-12-09,2016-12-13,4,Standard Class,KB-16585,Ken Black,Corporate,Central,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,26.0,2.78,Low,Large,True,False,True,2016,12,4,Friday
CA-2016-137330,2016-12-09,2016-12-13,4,Standard Class,KB-16585,Ken Black,Corporate,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,26.0,8.62,Low,Large,True,False,True,2016,12,4,Friday
US-2017-156909,2017-07-16,2017-07-18,2,Second Class,SF-20065,Sandra Flanagan,Consumer,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-1.43,35.69,Medium,Small,False,False,True,2017,7,3,Sunday
CA-2015-106320,2015-09-25,2015-09-30,5,Standard Class,EB-13870,Emily Burns,Consumer,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,23.0,348.21,Low,Medium,True,True,True,2015,9,3,Friday
CA-2016-121755,2016-01-16,2016-01-20,4,Second Class,EH-13945,Eric Hoffmann,Consumer,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,36.25,5.82,Medium,Small,True,False,True,2016,1,1,Saturday
CA-2016-121755,2016-01-16,2016-01-20,4,Second Class,EH-13945,Eric Hoffmann,Consumer,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,13.0,30.19,Low,Medium,True,False,True,2016,1,1,Saturday
US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,-54.0,440.49,High,Large,False,True,True,2015,9,3,Thursday
US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,-73.33,4.81,High,Small,False,False,True,2015,9,3,Thursday
US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,12.5,41.4,Medium,Medium,True,False,True,2015,9,3,Thursday
US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,33.75,1.63,Medium,Small,True,False,True,2015,9,3,Thursday
US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,11.25,14.38,Medium,Large,True,False,True,2015,9,3,Thursday
US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,-83.33,1.14,High,Large,False,False,True,2015,9,3,Thursday
US-2015-150630,2015-09-17,2015-09-21,4,Standard Class,TB-21520,Tracy Blumstein,Consumer,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,22.5,7.88,Medium,Small,True,False,True,2015,9,3,Thursday
CA-2017-107727,2017-10-19,2017-10-23,4,Second Class,MA-17560,Matt Abelman,Home Office,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,33.75,9.82,Medium,Medium,True,False,True,2017,10,4,Thursday
CA-2016-117590,2016-12-08,2016-12-10,2,First Class,GH-14485,Gene Hale,Corporate,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,11.25,156.79,Medium,Large,True,True,True,2016,12,4,Thursday
CA-2016-117590,2016-12-08,2016-12-10,2,First Class,GH-14485,Gene Hale,Corporate,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,-77.5,38.18,High,Medium,False,False,True,2016,12,4,Thursday
CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,31.25,12.59,Medium,Large,True,False,True,2015,12,4,Sunday
CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,-8.82,177.47,High,Medium,False,True,True,2015,12,4,Sunday
CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,-7.14,70.69,Medium,Medium,False,False,True,2015,12,4,Sunday
CA-2015-117415,2015-12-27,2015-12-31,4,Standard Class,SN-20710,Steve Nguyen,Home Office,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,11.25,92.79,Medium,Medium,True,False,True,2015,12,4,Sunday
CA-2017-120999,2017-09-10,2017-09-15,5,Standard Class,LC-16930,Linda Cazamias,Corporate,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,11.25,36.79,Medium,Medium,True,False,True,2017,9,3,Sunday
CA-2016-101343,2016-07-17,2016-07-22,5,Standard Class,RA-19885,Ruben Ausman,Corporate,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,5.0,38.94,Low,Small,True,False,True,2016,7,3,Sunday
CA-2017-139619,2017-09-19,2017-09-23,4,Standard Class,ES-14080,Erin Smith,Corporate,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,10.0,47.81,Medium,Small,True,False,True,2017,9,3,Tuesday
CA-2016-118255,2016-03-11,2016-03-13,2,First Class,ON-18715,Odella Nelson,Corporate,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,43.0,22.99,Low,Small,True,False,True,2016,3,1,Friday
CA-2016-118255,2016-03-11,2016-03-13,2,First Class,ON-18715,Odella Nelson,Corporate,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,47.0,8.73,Low,Small,True,False,True,2016,3,1,Friday
CA-2014-146703,2014-10-20,2014-10-25,5,Second Class,PO-18865,Patrick O'Donnell,Consumer,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,4.0,52.99,Low,Medium,True,False,True,2014,10,4,Monday
CA-2016-169194,2016-06-20,2016-06-25,5,Standard Class,LH-16900,Lena Hernandez,Consumer,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,11.0,15.0,Low,Medium,True,False,True,2016,6,2,Monday
CA-2016-169194,2016-06-20,2016-06-25,5,Standard Class,LH-16900,Lena Hernandez,Consumer,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,28.0,10.9,Low,Small,True,False,True,2016,6,2,Monday
CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,47.0,6.37,Low,Large,True,False,True,2015,4,2,Saturday
CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,Central,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,47.0,12.53,Low,Large,True,False,True,2015,4,2,Saturday
CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,48.0,3.08,Low,Small,True,False,True,2015,4,2,Saturday
CA-2015-115742,2015-04-18,2015-04-22,4,Standard Class,DP-13000,Darren Powers,Consumer,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,19.0,89.99,Low,Small,True,False,True,2015,4,2,Saturday
CA-2016-105816,2016-12-11,2016-12-17,6,Standard Class,JM-15265,Janet Molinari,Corporate,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,41.0,2.18,Low,Large,True,False,False,2016,12,4,Sunday
CA-2016-105816,2016-12-11,2016-12-17,6,Standard Class,JM-15265,Janet Molinari,Corporate,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,29.0,205.99,Low,Medium,True,True,False,2016,12,4,Sunday
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,25.0,34.76,Low,Large,True,False,True,2016,6,2,Friday
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,48.0,6.48,Low,Medium,True,False,True,2016,6,2,Friday
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2.22,63.88,Low,Medium,True,False,True,2016,6,2,Friday
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,48.0,7.28,Low,Small,True,False,True,2016,6,2,Friday
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,11.0,15.0,Low,Small,True,False,True,2016,6,2,Friday
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,33.75,12.12,Medium,Medium,True,False,True,2016,6,2,Friday
CA-2016-111682,2016-06-17,2016-06-18,1,First Class,TB-21055,Ted Butterfield,Consumer,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,50.0,1.68,Low,Small,True,False,True,2016,6,2,Friday
CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,44.0,6.99,Low,Small,True,False,False,2015,11,4,Tuesday
CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,36.25,4.3,Medium,Large,True,False,False,2015,11,4,Tuesday
CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,West,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,47.0,48.91,Low,Medium,True,False,False,2015,11,4,Tuesday
CA-2015-135545,2015-11-24,2015-11-30,6,Standard Class,KM-16720,Kunst Miller,Consumer,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,28.0,19.94,Low,Medium,True,False,False,2015,11,4,Tuesday
US-2015-164175,2015-04-30,2015-05-05,5,Standard Class,PS-18970,Paul Stevenson,Home Office,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-7.14,42.62,Medium,Medium,False,False,True,2015,4,2,Thursday
CA-2014-106376,2014-12-05,2014-12-10,5,Standard Class,BS-11590,Brendan Sweed,Corporate,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,10.0,139.13,Medium,Large,True,True,True,2014,12,4,Friday
CA-2014-106376,2014-12-05,2014-12-10,5,Standard Class,BS-11590,Brendan Sweed,Corporate,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,37.5,41.99,Medium,Medium,True,False,True,2014,12,4,Friday
CA-2016-119823,2016-06-04,2016-06-06,2,First Class,KD-16270,Karen Daniels,Consumer,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,47.0,37.94,Low,Small,True,False,True,2016,6,2,Saturday
CA-2016-106075,2016-09-18,2016-09-23,5,Standard Class,HM-14980,Henry MacAllister,Consumer,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,37.5,4.62,Medium,Small,True,False,True,2016,9,3,Sunday
CA-2017-114440,2017-09-14,2017-09-17,3,Second Class,TB-21520,Tracy Blumstein,Consumer,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,46.0,6.35,Low,Medium,True,False,True,2017,9,3,Thursday
US-2015-134026,2015-04-26,2015-05-02,6,Standard Class,JE-15745,Joel Eaton,Consumer,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,-13.75,103.99,Medium,Large,False,True,False,2015,4,2,Sunday
US-2015-134026,2015-04-26,2015-05-02,6,Standard Class,JE-15745,Joel Eaton,Consumer,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,1.25,48.52,Medium,Small,True,False,False,2015,4,2,Sunday
US-2015-134026,2015-04-26,2015-05-02,6,Standard Class,JE-15745,Joel Eaton,Consumer,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,-25.0,72.78,Medium,Small,False,False,False,2015,4,2,Sunday
US-2017-118038,2017-12-09,2017-12-11,2,First Class,KB-16600,Ken Brennan,Corporate,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,-155.0,0.42,High,Medium,False,False,True,2017,12,4,Saturday
US-2017-118038,2017-12-09,2017-12-11,2,First Class,KB-16600,Ken Brennan,Corporate,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,-60.0,3.24,High,Medium,False,False,True,2017,12,4,Saturday
US-2017-118038,2017-12-09,2017-12-11,2,First Class,KB-16600,Ken Brennan,Corporate,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,10.0,9.08,Medium,Medium,True,False,True,2017,12,4,Saturday
US-2014-147606,2014-11-26,2014-12-01,5,Second Class,JE-15745,Joel Eaton,Consumer,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,-75.0,3.86,High,Medium,False,False,True,2014,11,4,Wednesday
CA-2016-127208,2016-06-12,2016-06-15,3,First Class,SC-20770,Stewart Carmichael,Corporate,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,27.0,208.16,Low,Small,True,False,True,2016,6,2,Sunday
CA-2016-127208,2016-06-12,2016-06-15,3,First Class,SC-20770,Stewart Carmichael,Corporate,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,48.0,5.58,Low,Medium,True,False,True,2016,6,2,Sunday
CA-2014-139451,2014-10-12,2014-10-16,4,Standard Class,DN-13690,Duane Noonan,Consumer,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,28.0,2.98,Low,Medium,True,False,True,2014,10,4,Sunday
CA-2014-139451,2014-10-12,2014-10-16,4,Standard Class,DN-13690,Duane Noonan,Consumer,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,29.0,21.39,Low,Small,True,False,True,2014,10,4,Sunday
CA-2015-149734,2015-09-03,2015-09-08,5,Standard Class,JC-16105,Julie Creighton,Corporate,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,31.25,28.71,Medium,Large,True,False,True,2015,9,3,Thursday
US-2017-119662,2017-11-13,2017-11-16,3,First Class,CS-12400,Christopher Schild,Home Office,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,-21.25,76.79,Medium,Medium,False,False,True,2017,11,4,Monday
CA-2017-140088,2017-05-28,2017-05-30,2,Second Class,PO-18865,Patrick O'Donnell,Consumer,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,11.0,150.98,Low,Small,True,False,True,2017,5,2,Sunday
CA-2017-155558,2017-10-26,2017-11-02,7,Standard Class,PG-18895,Paul Gonzalez,Consumer,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,34.0,19.99,Low,Small,True,False,False,2017,10,4,Thursday
CA-2017-155558,2017-10-26,2017-11-02,7,Standard Class,PG-18895,Paul Gonzalez,Consumer,Central,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,48.0,3.08,Low,Small,True,False,False,2017,10,4,Thursday
CA-2016-159695,2016-04-05,2016-04-10,5,Second Class,GM-14455,Gary Mitchum,Home Office,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,8.75,22.62,Medium,Large,True,False,True,2016,4,2,Tuesday
CA-2016-109806,2016-09-17,2016-09-22,5,Standard Class,JS-15685,Jim Sink,Corporate,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,33.0,6.7,Low,Medium,True,False,True,2016,9,3,Saturday
CA-2016-109806,2016-09-17,2016-09-22,5,Standard Class,JS-15685,Jim Sink,Corporate,West,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,11.25,36.79,Medium,Small,True,False,True,2016,9,3,Saturday
CA-2016-109806,2016-09-17,2016-09-22,5,Standard Class,JS-15685,Jim Sink,Corporate,West,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,48.0,6.48,Low,Small,True,False,True,2016,9,3,Saturday
CA-2015-149587,2015-01-31,2015-02-05,5,Second Class,KB-16315,Karl Braun,Consumer,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,48.0,6.48,Low,Small,True,False,True,2015,1,1,Saturday
CA-2015-149587,2015-01-31,2015-02-05,5,Second Class,KB-16315,Karl Braun,Consumer,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,31.0,17.78,Low,Medium,True,False,True,2015,1,1,Saturday
CA-2015-149587,2015-01-31,2015-02-05,5,Second Class,KB-16315,Karl Braun,Consumer,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,49.0,16.48,Low,Small,True,False,True,2015,1,1,Saturday
US-2017-109484,2017-11-06,2017-11-12,6,Standard Class,RB-19705,Roger Barcio,Home Office,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,-66.67,5.68,High,Small,False,False,False,2017,11,4,Monday
CA-2017-161018,2017-11-09,2017-11-11,2,Second Class,PN-18775,Parhena Norris,Home Office,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,42.0,13.79,Low,Large,True,False,True,2017,11,4,Thursday
CA-2017-157833,2017-06-17,2017-06-20,3,First Class,KD-16345,Katherine Ducich,Consumer,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,35.0,17.1,Medium,Medium,True,False,True,2017,6,2,Saturday
CA-2016-149223,2016-09-06,2016-09-11,5,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,29.0,12.98,Low,Large,True,False,True,2016,9,3,Tuesday
CA-2016-158568,2016-08-29,2016-09-02,4,Standard Class,RB-19465,Rick Bensley,Home Office,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,35.0,9.23,Medium,Large,True,False,True,2016,8,3,Monday
CA-2016-158568,2016-08-29,2016-09-02,4,Standard Class,RB-19465,Rick Bensley,Home Office,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,-11.25,31.99,Medium,Medium,False,False,True,2016,8,3,Monday
CA-2016-158568,2016-08-29,2016-09-02,4,Standard Class,RB-19465,Rick Bensley,Home Office,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,-170.0,0.6,High,Medium,False,False,True,2016,8,3,Monday
